BPKG Team,Release Notes
Project Formulation,"<div>Bug Fixes:</div><div><ul style=""box-sizing:border-box;padding:0px 0px 0px 40px;""><li style=""box-sizing:border-box;"">DRS users with Everybody role will not see the SPDMG Admin form</li><li style=""box-sizing:border-box;"">Only DRS users with the PF_SPDMG role will see the SPDMG Admin form</li></ul><br></div>"
Kanban,<div>Bug Fixes</div><div><ul><li>This functionality resolves a previous error and updates the ability for users to launch documents from the Documents Tree&nbsp;</li></ul></div><div><br></div>
