BPKG Team,Release Notes
FM,<div><u>Data Updates</u></div><div><ul><li>Updates to replace the COR3 contractor stakeholders of ICF in CIM.</li></ul></div>
Reporting,"<div>Bug fixes</div><div><ul><li>Fixed the thermometers view on the PF Quarterly Progress Milestones Dashboard to display the information for the current Quarter, Q4.</li></ul></div>"
