BPKG Team,Release Notes,ID,Title,Work Item Type,State
"Database","<div><div style=""box-sizing:border-box;""><div><span style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br></span></span></div></div><div style=""box-sizing:border-box;""><a style=""text-decoration:underline;cursor:pointer;box-sizing:border-box;"" href=""https://prdr.visualstudio.com/eec12f2f-47c0-49dc-bd81-7c8ad28664be/_workitems/edit/58492"" data-vss-mention=""version:1.0"">#58492</a>&nbsp;</div><span style=""display:inline !important;box-sizing:border-box;""><a style=""text-decoration:underline;cursor:pointer;box-sizing:border-box;"" href=""https://prdr.visualstudio.com/PR/_workitems/edit/61793#"" data-vss-mention=""version:2.0,9c120095-871b-6eb3-8f86-6969e8dd1e63"">@Emmanuel Sánchez</a>&nbsp;</span><br></div>","61793","DB | DB Release | 8.4.20","Build Package","Deployed And Released"
"CR Tool","<div><a href=""https://prdr.visualstudio.com/eec12f2f-47c0-49dc-bd81-7c8ad28664be/_workitems/edit/53127"" data-vss-mention=""version:1.0"">#53127</a>&nbsp;</div>","61830","CR Tool | Release 7.5 | 8.4.2020","Build Package","Deployed And Released"
