BPKG Team,Release Notes
Training Team,"<span><div style=""box-sizing:border-box;text-align:start;"">What's New<br></div></span><div style=""font-family:&quot;Segoe UI&quot;,system-ui,&quot;Apple Color Emoji&quot;,&quot;Segoe UI Emoji&quot;,sans-serif;box-sizing:border-box;"">- Training Center update to create a new Collaboration Portal Training Module</div><div style=""box-sizing:border-box;text-align:start;""><div style=""font-family:&quot;Segoe UI&quot;,system-ui,&quot;Apple Color Emoji&quot;,&quot;Segoe UI Emoji&quot;,sans-serif;box-sizing:border-box;"">- Training Center update to include Project Formulation Training Module description in Spanish<br></div></div>"
HMGP,<div>Bug Fix</div><div><ul><li>Update to ensure zip file is property returned to Upload Document page.&nbsp;</li></ul></div>
