BPKG Team,Release Notes,ID,Title,Work Item Type,State
"Grants PA","<div>The following data updates were completed during tonight's update:</div><ul><li>Internal&nbsp;- ADM -&nbsp;Resolve issue with COR3 Obligated Summary</li><li>Update&nbsp;- Update RPA Land Administration, <span style=""display:inline !important;"">4339-FPA-000000189</span>, Move 9 PWs<br></li></ul><div><br></div>","58961","Grants PA | Data Updates| 7.5  | 07.21.20","Build Package","QUEUE for Pre-PRD QA"
"FM","<div><div style=""box-sizing:border-box;"">11723-<span>&nbsp;</span><a href=""https://prdr.visualstudio.com/eec12f2f-47c0-49dc-bd81-7c8ad28664be/_workitems/edit/44531"" data-vss-mention=""version:1.0"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">#44531</a>&nbsp;</div><div style=""box-sizing:border-box;"">13168-<span>&nbsp;</span><a href=""https://prdr.visualstudio.com/eec12f2f-47c0-49dc-bd81-7c8ad28664be/_workitems/edit/44676"" data-vss-mention=""version:1.0"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">#44676</a>&nbsp;</div><div style=""box-sizing:border-box;"">13129-<a href=""https://prdr.visualstudio.com/eec12f2f-47c0-49dc-bd81-7c8ad28664be/_workitems/edit/47617"" data-vss-mention=""version:1.0"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">#47617</a>&nbsp;</div><div style=""box-sizing:border-box;""><a href=""https://prdr.visualstudio.com/eec12f2f-47c0-49dc-bd81-7c8ad28664be/_workitems/edit/54708"" data-vss-mention=""version:1.0"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">#54708</a>&nbsp;</div><br></div>","59391","FM | Data fixes | 7.21.2020","Build Package","QUEUE for Pre-PRD QA"
"Kanban","<div>What's New</div><ul><li>55365 - Add Expense Entry Actions - The functionality allows the users with the DRS_HMGP_Projects_SubRecipient role the ability to perform the following actions on the HMGP Project: </li><ul><li>Add Expense Entry</li><li>Add Revenue Entry</li><li>Add Notes</li><li>Manage Documents</li><li>Payment Request</li><li>Note: User retain the ability to initiate the Submit RFR</li></ul></ul><div><br></div>","59474","Kanban Team | Weekly Release | Sprint 7.5 | 07.21.2020","Build Package","Passed Pre-PRD"
"Project Formulation","<ul><li><span>Users with PF_Reviewer or PF_SPDMG will now see the associated FEMA Process Step for a Project to better track the work flow.</span></li><li>User with the PF-Everybody role</li><ul><li>	will now be able to view PF All Sites CL</li><li>	view the history of signature actions taken for DDD and SoW/CE sign off.</li></ul><li>User with role od assigned SPDMG </li><ul><li>	will have the ability to re-sign the DDD approval each time the the status of a DDD review is updated to Agree,Agree with comments or Not Required</li><li><span>	will be able to re-sign the SOW/CE approval each time the the status of a PA SME review is updated to Agree,Agree with comments or Not Required</span></li></ul></ul>","59499","PF | Release Fix | 7.21.2020","Build Package","Scheduled"
"Collaboration Portal","<div><a href=""https://prdr.visualstudio.com/eec12f2f-47c0-49dc-bd81-7c8ad28664be/_workitems/edit/55639"" data-vss-mention=""version:1.0"">#55639</a>&nbsp;</div>","59516","Collaboration Portal | Release | 7.22.2020","Build Package","Scheduled"
"Grants PA","<div><span style=""display:inline !important;"">Updates to support 7.4 spring release include the following:</span><br></div><div><span style=""display:inline !important;""><br></span></div><div><span style=""display:inline !important;""><span style=""display:inline !important;"">User will be able to to see PW information even if POC information is not complete.&nbsp;</span><br></span></div>","59636","Grants PA | QPR URR FIX | 7.21.2020","Build Package","QUEUE for Pre-PRD QA"
